denominazione_regione	hs	ic	th	hi	tcp	ncp	dh	d	tc	sw	casi_testati
Campania	606	80	686	2376	3062	66	360	248	3670	36770	
Campania	618	82	700	2394	3094	99	415	260	3769	38094	
Campania	607	86	693	2394	3087	38	442	278	3807	39534	
Campania	618	76	694	2424	3118	80	483	286	3887	41296	
Campania	622	76	698	2329	3027	64	631	293	3951	43697	
Campania	605	76	681	2364	3045	37	643	300	3988	46294	
Campania	590	61	651	2371	3022	41	703	304	4029	48187	34994
Campania	586	61	647	2372	3019	45	746	309	4074	51090	36153
Campania	532	58	590	2356	2946	61	872	317	4135	53548	37505
Campania	523	53	576	2422	2998	50	860	327	4185	55701	38679
Campania	539	47	586	2392	2978	53	928	332	4238	58324	38679
Campania	524	44	568	2375	2943	44	1003	336	4282	61331	40053
Campania	543	55	598	2337	2935	17	1023	341	4299	64521	41399
Campania	536	45	581	2343	2924	32	1062	345	4331	67218	42279
Emilia	10	2	12	6	18	18	0	0	18	148	
Emilia	15	2	17	9	26	8	0	0	26	391	
Emilia	20	3	23	23	46	21	0	1	47	577	
Emilia	36	6	42	54	96	50	0	1	97	1033	
Emilia	56	6	62	81	143	48	0	2	145	1277	
Emilia	86	11	97	116	213	72	0	4	217	1550	
Emilia	127	13	140	137	277	68	0	8	285	1795	
Emilia	148	16	164	160	324	50	0	11	335	1973	
Emilia	187	24	211	187	398	85	4	18	420	2012	
Emilia	256	26	282	234	516	124	6	22	544	2500	
Emilia	327	32	359	299	658	154	10	30	698	2884	
Emilia	397	53	450	366	816	172	17	37	870	3136	
Emilia	464	64	528	409	937	140	25	48	1010	3604	
Emilia	542	75	617	480	1097	170	27	56	1180	4344	
Emilia	576	90	666	620	1286	206	30	70	1386	4906	
Emilia	669	98	767	650	1417	147	31	85	1533	5494	
Emilia	745	104	849	739	1588	206	38	113	1739	6640	
Emilia	814	112	926	832	1758	208	43	146	1947	7600	
Emilia	942	128	1070	941	2011	316	51	201	2263	8787	
Emilia	1076	152	1228	1121	2349	381	54	241	2644	10043	
Emilia	1215	169	1384	1357	2741	449	68	284	3093	12054	
Emilia	1362	197	1559	1529	3088	429	88	346	3522	13096	
Emilia	1566	223	1789	1615	3404	409	134	393	3931	14510	
Emilia	1784	247	2031	1884	3915	594	152	458	4525	15461	
Emilia	1900	260	2160	2346	4506	689	177	531	5214	18344	
Emilia	2083	267	2350	2739	5089	754	239	640	5968	20753	
Emilia	2267	265	2532	3129	5661	737	329	715	6705	24620	
Emilia	2429	269	2698	3692	6390	850	349	816	7555	28022	
Emilia	2846	276	3122	4098	7220	980	423	892	8535	31200	
Emilia	2974	291	3265	4446	7711	719	558	985	9254	33527	
Emilia	3180	294	3474	4782	8256	800	721	1077	10054	38045	
Emilia	3354	301	3655	5195	8850	762	792	1174	10816	42395	
Emilia	3461	308	3769	5592	9361	772	960	1267	11588	47798	
Emilia	3695	316	4011	5953	9964	795	1075	1344	12383	52991	
Emilia	3769	333	4102	6433	10535	736	1141	1443	13119	52991	
Emilia	3779	351	4130	6636	10766	412	1227	1538	13531	50990	
Emilia	3765	353	4118	6835	10953	543	1477	1644	14074	54532	
Emilia	3898	359	4257	7232	11489	713	1566	1732	14787	58457	
Emilia	3944	366	4310	7549	11859	546	1663	1811	15333	60507	
Emilia	3915	364	4279	7899	12178	599	1852	1902	15932	63682	
Emilia	3859	358	4217	8306	12523	608	2040	1977	16540	67075	
Emilia	3839	375	4214	8623	12837	549	2201	2051	17089	69986	
Emilia	3804	372	4176	8875	13051	467	2397	2108	17556	72163	
Emilia	3750	366	4116	8932	13048	269	2597	2180	17825	75191	
Emilia	3769	361	4130	8980	13110	409	2890	2234	18234	78367	
Emilia	3722	355	4077	9181	13258	443	3103	2316	18677	81715	
Emilia	3596	349	3945	9405	13350	451	3381	2397	19128	85884	
Emilia	3530	341	3871	9624	13495	507	3659	2481	19635	91759	
Emilia	3491	335	3826	9846	13672	463	3862	2564	20098	96704	
Emilia	3490	331	3821	9997	13818	342	4007	2615	20440	99047	
Emilia	3473	328	3801	9977	13778	312	4269	2705	20752	101896	
Emilia	3388	325	3713	9864	13577	277	4664	2788	21029	106149	
Emilia	3360	316	3676	9987	13663	457	4980	2843	21486	112105	
Emilia	3330	309	3639	9946	13585	348	5346	2903	21834	116826	
Emilia	3234	296	3530	10054	13584	350	5635	2965	22184	121220	
Emilia	3166	289	3455	10097	13552	376	5985	3023	22560	124916	88776
Emilia	3144	283	3427	10095	13522	307	6266	3079	22867	129530	90894
Emilia	3045	282	3327	9917	13244	225	6701	3147	23092	134878	93367
Emilia	2964	282	3246	9838	13084	342	7146	3204	23434	140874	96824
Emilia	2889	266	3155	9690	12845	289	7609	3269	23723	146146	99714
Emilia	2807	264	3071	9438	12509	247	8158	3303	23970	151505	102495
Emilia	2718	246	2964	9383	12347	239	8515	3347	24209	156883	105628
Emilia	2695	245	2940	9401	12341	241	8723	3386	24450	161928	109192
Friuli	0	0	0	0	0	0	0	0	0	58	
Friuli	0	0	0	0	0	0	0	0	0	89	
